Indicator,Date,Measure,Area,Characteristic,Breakdown,Value,LCI,UCI,
Retinopathy and maculopathy outcomes,2019/20,Count,Cwm Taf Morgannwg UHB,Persons,Severe retinopathy/maculopathy,92,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Hywel Dda UHB,Persons,Severe retinopathy/maculopathy,85,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Powys THB,Persons,Severe retinopathy/maculopathy,20,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Swansea Bay UHB,Persons,Severe retinopathy/maculopathy,98,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Count,Wales,Persons,Severe retinopathy/maculopathy,585,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Aneurin Bevan UHB,Persons,Sight threatening retinopathy/maculopathy,5.3,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Betsi Cadwaladr UHB,Persons,Sight threatening retinopathy/maculopathy,5.7,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Cardiff & Vale UHB,Persons,Sight threatening retinopathy/maculopathy,6.8,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Cwm Taf Morgannwg UHB,Persons,Sight threatening retinopathy/maculopathy,6.1,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Hywel Dda UHB,Persons,Sight threatening retinopathy/maculopathy,5.8,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Powys THB,Persons,Sight threatening retinopathy/maculopathy,5.5,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Swansea Bay UHB,Persons,Sight threatening retinopathy/maculopathy,7.1,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Wales,Persons,Sight threatening retinopathy/maculopathy,6,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Aneurin Bevan UHB,Persons,Severe retinopathy/maculopathy,0.4,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Betsi Cadwaladr UHB,Persons,Severe retinopathy/maculopathy,0.5,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Cardiff & Vale UHB,Persons,Severe retinopathy/maculopathy,0.5,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Cwm Taf Morgannwg UHB,Persons,Severe retinopathy/maculopathy,0.5,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Hywel Dda UHB,Persons,Severe retinopathy/maculopathy,0.6,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Powys THB,Persons,Severe retinopathy/maculopathy,0.4,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Swansea Bay UHB,Persons,Severe retinopathy/maculopathy,0.7,[x],[x],
Retinopathy and maculopathy outcomes,2019/20,Percent of diabetic population with condition screened,Wales,Persons,Severe retinopathy/maculopathy,0.5,[x],[x],
Retinopathy outcomes,2019/20,Count,Aneurin Bevan UHB,Persons,Results reported,"24,867",[x],[x],
Retinopathy outcomes,2019/20,Count,Betsi Cadwaladr UHB,Persons,Results reported,"22,632",[x],[x],
Retinopathy outcomes,2019/20,Count,Cardiff & Vale UHB,Persons,Results reported,"14,731",[x],[x],
Retinopathy outcomes,2019/20,Count,Cwm Taf Morgannwg UHB,Persons,Results reported,"19,548",[x],[x],
Retinopathy outcomes,2019/20,Count,Hywel Dda UHB,Persons,Results reported,"15,033",[x],[x],
Retinopathy outcomes,2019/20,Count,Powys THB,Persons,Results reported,"5,459",[x],[x],
Retinopathy outcomes,2019/20,Count,Swansea Bay UHB,Persons,Results reported,"13,739",[x],[x],
Retinopathy outcomes,2019/20,Count,Wales,Persons,Results reported,"116,009",[x],[x],
Retinopathy outcomes,2019/20,Count,Aneurin Bevan UHB,Persons,No retinopathy,"16,654",[x],[x],
Retinopathy outcomes,2019/20,Count,Betsi Cadwaladr UHB,Persons,No retinopathy,"15,138",[x],[x],
Retinopathy outcomes,2019/20,Count,Cardiff & Vale UHB,Persons,No retinopathy,"9,682",[x],[x],
Retinopathy outcomes,2019/20,Count,Cwm Taf Morgannwg UHB,Persons,No retinopathy,"12,844",[x],[x],
Retinopathy outcomes,2019/20,Count,Hywel Dda UHB,Persons,No retinopathy,"9,781",[x],[x],
Retinopathy outcomes,2019/20,Count,Powys THB,Persons,No retinopathy,"3,658",[x],[x],
Retinopathy outcomes,2019/20,Count,Swansea Bay UHB,Persons,No retinopathy,"8,909",[x],[x],
Retinopathy outcomes,2019/20,Count,Wales,Persons,No retinopathy,"76,666",[x],[x],
Retinopathy outcomes,2019/20,Count,Aneurin Bevan UHB,Persons,Any retinopathy,"7,351",[x],[x],
Retinopathy outcomes,2019/20,Count,Betsi Cadwaladr UHB,Persons,Any retinopathy,"6,667",[x],[x],
Retinopathy outcomes,2019/20,Count,Cardiff & Vale UHB,Persons,Any retinopathy,"4,577",[x],[x],
Retinopathy outcomes,2019/20,Count,Cwm Taf Morgannwg UHB,Persons,Any retinopathy,"5,907",[x],[x],
Retinopathy outcomes,2019/20,Count,Hywel Dda UHB,Persons,Any retinopathy,"4,640",[x],[x],
Retinopathy outcomes,2019/20,Count,Powys THB,Persons,Any retinopathy,"1,649",[x],[x],
Retinopathy outcomes,2019/20,Count,Swansea Bay UHB,Persons,Any retinopathy,"4,366",[x],[x],
Retinopathy outcomes,2019/20,Count,Wales,Persons,Any retinopathy,"33,157",[x],[x],
Retinopathy outcomes,2019/20,Count,Aneurin Bevan UHB,Persons,Inadequate image,845,[x],[x],
Retinopathy outcomes,2019/20,Count,Betsi Cadwaladr UHB,Persons,Inadequate image,867,[x],[x],
Retinopathy outcomes,2019/20,Count,Cardiff & Vale UHB,Persons,Inadequate image,549,[x],[x],
Retinopathy outcomes,2019/20,Count,Cwm Taf Morgannwg UHB,Persons,Inadequate image,652,[x],[x],
Retinopathy outcomes,2019/20,Count,Hywel Dda UHB,Persons,Inadequate image,633,[x],[x],
Retinopathy outcomes,2019/20,Count,Powys THB,Persons,Inadequate image,180,[x],[x],
Retinopathy outcomes,2019/20,Count,Swansea Bay UHB,Persons,Inadequate image,455,[x],[x],
Retinopathy outcomes,2019/20,Count,Wales,Persons,Inadequate image,"4,181",[x],[x],
Retinopathy outcomes,2019/20,Percentage,Aneurin Bevan UHB,Persons,Results reported,[x],[x],[x],
Retinopathy outcomes,2019/20,Percentage,Betsi Cadwaladr UHB,Persons,Results reported,[x],[x],[x],
Retinopathy outcomes,2019/20,Percentage,Cardiff & Vale UHB,Persons,Results reported,[x],[x],[x],
Retinopathy outcomes,2019/20,Percentage,Cwm Taf Morgannwg UHB,Persons,Results reported,[x],[x],[x],
Retinopathy outcomes,2019/20,Percentage,Hywel Dda UHB,Persons,Results reported,[x],[x],[x],
Retinopathy outcomes,2019/20,Percentage,Powys THB,Persons,Results reported,[x],[x],[x],
Retinopathy outcomes,2019/20,Percentage,Swansea Bay UHB,Persons,Results reported,[x],[x],[x],
Retinopathy outcomes,2019/20,Percentage,Wales,Persons,Results reported,[x],[x],[x],
Retinopathy outcomes,2019/20,Percentage,Aneurin Bevan UHB,Persons,No retinopathy,67,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Betsi Cadwaladr UHB,Persons,No retinopathy,66.9,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Cardiff & Vale UHB,Persons,No retinopathy,65.7,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Cwm Taf Morgannwg UHB,Persons,No retinopathy,65.7,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Hywel Dda UHB,Persons,No retinopathy,65.1,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Powys THB,Persons,No retinopathy,67,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Swansea Bay UHB,Persons,No retinopathy,64.8,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Wales,Persons,No retinopathy,66.1,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Aneurin Bevan UHB,Persons,Any retinopathy,29.6,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Betsi Cadwaladr UHB,Persons,Any retinopathy,29.5,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Cardiff & Vale UHB,Persons,Any retinopathy,31.1,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Cwm Taf Morgannwg UHB,Persons,Any retinopathy,30.2,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Hywel Dda UHB,Persons,Any retinopathy,30.9,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Powys THB,Persons,Any retinopathy,30.2,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Swansea Bay UHB,Persons,Any retinopathy,31.8,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Wales,Persons,Any retinopathy,30.3,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Aneurin Bevan UHB,Persons,Inadequate image,3.4,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Betsi Cadwaladr UHB,Persons,Inadequate image,3.8,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Cardiff & Vale UHB,Persons,Inadequate image,3.7,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Cwm Taf Morgannwg UHB,Persons,Inadequate image,3.3,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Hywel Dda UHB,Persons,Inadequate image,4.2,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Powys THB,Persons,Inadequate image,3.3,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Swansea Bay UHB,Persons,Inadequate image,3.3,[x],[x],
Retinopathy outcomes,2019/20,Percentage,Wales,Persons,Inadequate image,3.6,[x],[x],
Missed diabetes diagnosis,Jun-22,Count,Wales,Persons,Missed diabetes diagnosis,"6,318",[x],[x],
Missed diabetes diagnosis,Jul-22,Count,Wales,Persons,Missed diabetes diagnosis,"6,260",[x],[x],
Missed diabetes diagnosis,Aug-22,Count,Wales,Persons,Missed diabetes diagnosis,"6,201",[x],[x],
Missed diabetes diagnosis,Sep-22,Count,Wales,Persons,Missed diabetes diagnosis,"6,229",[x],[x],
Missed diabetes diagnosis,Oct-22,Count,Wales,Persons,Missed diabetes diagnosis,"6,275",[x],[x],
Missed diabetes diagnosis,Nov-22,Count,Wales,Persons,Missed diabetes diagnosis,"6,368",[x],[x],
Missed diabetes diagnosis,Dec-22,Count,Wales,Persons,Missed diabetes diagnosis,"6,287",[x],[x],
Missed diabetes diagnosis,Jan-23,Count,Wales,Persons,Missed diabetes diagnosis,"6,408",[x],[x],
Missed diabetes diagnosis,Feb-23,Count,Wales,Persons,Missed diabetes diagnosis,"6,390",[x],[x],
Missed diabetes diagnosis,Mar-23,Count,Wales,Persons,Missed diabetes diagnosis,"6,437",[x],[x],
Missed diabetes diagnosis,Apr-23,Count,Wales,Persons,Missed diabetes diagnosis,"6,490",[x],[x],
Missed diabetes diagnosis,May-23,Count,Wales,Persons,Missed diabetes diagnosis,"6,492",[x],[x],
Missed diabetes diagnosis,Jun-23,Count,Wales,Persons,Missed diabetes diagnosis,"6,549",[x],[x],
Missed diabetes diagnosis,Jul-23,Count,Wales,Persons,Missed diabetes diagnosis,"6,409",[x],[x],
Missed diabetes diagnosis,Aug-23,Count,Wales,Persons,Missed diabetes diagnosis,"6,351",[x],[x],
Missed diabetes diagnosis,Jun-22,Count,Wales,Persons,Pre-diabetes register,"71,413",[x],[x],
Missed diabetes diagnosis,Jul-22,Count,Wales,Persons,Pre-diabetes register,"103,756",[x],[x],
Missed diabetes diagnosis,Aug-22,Count,Wales,Persons,Pre-diabetes register,"105,585",[x],[x],
Missed diabetes diagnosis,Sep-22,Count,Wales,Persons,Pre-diabetes register,"107,165",[x],[x],
Missed diabetes diagnosis,Oct-22,Count,Wales,Persons,Pre-diabetes register,"108,697",[x],[x],
Missed diabetes diagnosis,Nov-22,Count,Wales,Persons,Pre-diabetes register,"110,328",[x],[x],
Missed diabetes diagnosis,Dec-22,Count,Wales,Persons,Pre-diabetes register,"111,707",[x],[x],
Missed diabetes diagnosis,Jan-23,Count,Wales,Persons,Pre-diabetes register,"113,256",[x],[x],
Missed diabetes diagnosis,Feb-23,Count,Wales,Persons,Pre-diabetes register,"113,929",[x],[x],
Missed diabetes diagnosis,Mar-23,Count,Wales,Persons,Pre-diabetes register,"116,737",[x],[x],
Missed diabetes diagnosis,Apr-23,Count,Wales,Persons,Pre-diabetes register,"118,689",[x],[x],
Missed diabetes diagnosis,May-23,Count,Wales,Persons,Pre-diabetes register,"119,700",[x],[x],
Missed diabetes diagnosis,Jun-23,Count,Wales,Persons,Pre-diabetes register,"122,486",[x],[x],
Missed diabetes diagnosis,Jul-23,Count,Wales,Persons,Pre-diabetes register,"124,806",[x],[x],
Missed diabetes diagnosis,Aug-23,Count,Wales,Persons,Pre-diabetes register,"127,688",[x],[x],
Deaths with an underlying cause of diabetes by type,2002,Count,Wales,Persons,Type 1,32,[x],[x],
Deaths with an underlying cause of diabetes by type,2003,Count,Wales,Persons,Type 1,32,[x],[x],
Deaths with an underlying cause of diabetes by type,2004,Count,Wales,Persons,Type 1,17,[x],[x],
Deaths with an underlying cause of diabetes by type,2005,Count,Wales,Persons,Type 1,14,[x],[x],
Deaths with an underlying cause of diabetes by type,2006,Count,Wales,Persons,Type 1,9,[x],[x],
Deaths with an underlying cause of diabetes by type,2007,Count,Wales,Persons,Type 1,13,[x],[x],
Deaths with an underlying cause of diabetes by type,2008,Count,Wales,Persons,Type 1,18,[x],[x],
Deaths with an underlying cause of diabetes by type,2009,Count,Wales,Persons,Type 1,16,[x],[x],
Deaths with an underlying cause of diabetes by type,2010,Count,Wales,Persons,Type 1,16,[x],[x],
Deaths with an underlying cause of diabetes by type,2011,Count,Wales,Persons,Type 1,15,[x],[x],
Deaths with an underlying cause of diabetes by type,2012,Count,Wales,Persons,Type 1,22,[x],[x],
Deaths with an underlying cause of diabetes by type,2013,Count,Wales,Persons,Type 1,19,[x],[x],
Deaths with an underlying cause of diabetes by type,2014,Count,Wales,Persons,Type 1,21,[x],[x],
Deaths with an underlying cause of diabetes by type,2015,Count,Wales,Persons,Type 1,25,[x],[x],
Deaths with an underlying cause of diabetes by type,2016,Count,Wales,Persons,Type 1,24,[x],[x],
Deaths with an underlying cause of diabetes by type,2017,Count,Wales,Persons,Type 1,20,[x],[x],
Deaths with an underlying cause of diabetes by type,2018,Count,Wales,Persons,Type 1,26,[x],[x],
Deaths with an underlying cause of diabetes by type,2019,Count,Wales,Persons,Type 1,20,[x],[x],
Deaths with an underlying cause of diabetes by type,2020,Count,Wales,Persons,Type 1,26,[x],[x],
Deaths with an underlying cause of diabetes by type,2021,Count,Wales,Persons,Type 1,37,[x],[x],
Deaths with an underlying cause of diabetes by type,2022,Count,Wales,Persons,Type 1,43,[x],[x],
Deaths with an underlying cause of diabetes by type,2002,Count,Wales,Persons,Type 2,62,[x],[x],
Deaths with an underlying cause of diabetes by type,2003,Count,Wales,Persons,Type 2,77,[x],[x],
Deaths with an underlying cause of diabetes by type,2004,Count,Wales,Persons,Type 2,84,[x],[x],
Deaths with an underlying cause of diabetes by type,2005,Count,Wales,Persons,Type 2,81,[x],[x],
Deaths with an underlying cause of diabetes by type,2006,Count,Wales,Persons,Type 2,68,[x],[x],
Deaths with an underlying cause of diabetes by type,2007,Count,Wales,Persons,Type 2,98,[x],[x],
Deaths with an underlying cause of diabetes by type,2008,Count,Wales,Persons,Type 2,120,[x],[x],
Deaths with an underlying cause of diabetes by type,2009,Count,Wales,Persons,Type 2,103,[x],[x],
Deaths with an underlying cause of diabetes by type,2010,Count,Wales,Persons,Type 2,109,[x],[x],
Deaths with an underlying cause of diabetes by type,2011,Count,Wales,Persons,Type 2,120,[x],[x],
Deaths with an underlying cause of diabetes by type,2012,Count,Wales,Persons,Type 2,105,[x],[x],
Deaths with an underlying cause of diabetes by type,2013,Count,Wales,Persons,Type 2,107,[x],[x],
Deaths with an underlying cause of diabetes by type,2014,Count,Wales,Persons,Type 2,143,[x],[x],
Deaths with an underlying cause of diabetes by type,2015,Count,Wales,Persons,Type 2,153,[x],[x],
Deaths with an underlying cause of diabetes by type,2016,Count,Wales,Persons,Type 2,157,[x],[x],
Deaths with an underlying cause of diabetes by type,2017,Count,Wales,Persons,Type 2,159,[x],[x],
Deaths with an underlying cause of diabetes by type,2018,Count,Wales,Persons,Type 2,173,[x],[x],
Deaths with an underlying cause of diabetes by type,2019,Count,Wales,Persons,Type 2,221,[x],[x],
Deaths with an underlying cause of diabetes by type,2020,Count,Wales,Persons,Type 2,255,[x],[x],
Deaths with an underlying cause of diabetes by type,2021,Count,Wales,Persons,Type 2,268,[x],[x],
Deaths with an underlying cause of diabetes by type,2022,Count,Wales,Persons,Type 2,309,[x],[x],
Deaths with an underlying cause of diabetes by type,2002,Count,Wales,Persons,Unspecified,340,[x],[x],
Deaths with an underlying cause of diabetes by type,2003,Count,Wales,Persons,Unspecified,321,[x],[x],
Deaths with an underlying cause of diabetes by type,2004,Count,Wales,Persons,Unspecified,323,[x],[x],
